point_A,point_B,n_vuelos,lat_A,long_A,lat_B,long_B,description
Acapulco,Cancun,18,16.84948,-99.90943,21.1622,-86.83568,Se realizaron 18 vuelos entre los aeropuertos de Acapulco y Cancun en Enero 2022
Acapulco,Guadalajara,18,16.84948,-99.90943,20.68758,-103.35104,Se realizaron 18 vuelos entre los aeropuertos de Acapulco y Guadalajara en Enero 2022
Acapulco,Ciudad de Mexico,513,16.84948,-99.90943,19.43194,-99.13315,Se realizaron 513 vuelos entre los aeropuertos de Acapulco y Ciudad de Mexico en Enero 2022
Acapulco,Monterrey,20,16.84948,-99.90943,25.67093,-100.30999,Se realizaron 20 vuelos entre los aeropuertos de Acapulco y Monterrey en Enero 2022
Acapulco,Tijuana,62,16.84948,-99.90943,32.53507,-117.04097,Se realizaron 62 vuelos entre los aeropuertos de Acapulco y Tijuana en Enero 2022
Aguascalientes,Cancun,62,21.8812,-102.29607,21.1622,-86.83568,Se realizaron 62 vuelos entre los aeropuertos de Aguascalientes y Cancun en Enero 2022
Aguascalientes,Ciudad de Mexico,331,21.8812,-102.29607,19.43194,-99.13315,Se realizaron 331 vuelos entre los aeropuertos de Aguascalientes y Ciudad de Mexico en Enero 2022
Aguascalientes,Monterrey,61,21.8812,-102.29607,25.67093,-100.30999,Se realizaron 61 vuelos entre los aeropuertos de Aguascalientes y Monterrey en Enero 2022
Aguascalientes,Puerto Vallarta,64,21.8812,-102.29607,20.60841,-105.23525,Se realizaron 64 vuelos entre los aeropuertos de Aguascalientes y Puerto Vallarta en Enero 2022
Aguascalientes,Tijuana,136,21.8812,-102.29607,32.53507,-117.04097,Se realizaron 136 vuelos entre los aeropuertos de Aguascalientes y Tijuana en Enero 2022
Campeche,Ciudad de Mexico,126,19.84549,-90.53702,19.43194,-99.13315,Se realizaron 126 vuelos entre los aeropuertos de Campeche y Ciudad de Mexico en Enero 2022
Cancun,Chihuahua,56,21.1622,-86.83568,28.63568,-106.07592,Se realizaron 56 vuelos entre los aeropuertos de Cancun y Chihuahua en Enero 2022
Cancun,Ciudad Juarez,70,21.1622,-86.83568,31.73836,-106.48776,Se realizaron 70 vuelos entre los aeropuertos de Cancun y Ciudad Juarez en Enero 2022
Cancun,Del Bajio,150,21.1622,-86.83568,20.66774,-101.33058,Se realizaron 150 vuelos entre los aeropuertos de Cancun y Del Bajio en Enero 2022
Cancun,Guadalajara,574,21.1622,-86.83568,20.68758,-103.35104,Se realizaron 574 vuelos entre los aeropuertos de Cancun y Guadalajara en Enero 2022
Cancun,Merida,33,21.1622,-86.83568,20.9667,-89.62317,Se realizaron 33 vuelos entre los aeropuertos de Cancun y Merida en Enero 2022
Cancun,Mexicali,36,21.1622,-86.83568,32.6411,-115.4745,Se realizaron 36 vuelos entre los aeropuertos de Cancun y Mexicali en Enero 2022
Cancun,Ciudad de Mexico,2287,21.1622,-86.83568,19.43194,-99.13315,"Se realizaron 2,287 vuelos entre los aeropuertos de Cancun y Ciudad de Mexico en Enero 2022"
Cancun,Monterrey,632,21.1622,-86.83568,25.67093,-100.30999,Se realizaron 632 vuelos entre los aeropuertos de Cancun y Monterrey en Enero 2022
Cancun,Oaxaca,32,21.1622,-86.83568,17.06173,-96.7261,Se realizaron 32 vuelos entre los aeropuertos de Cancun y Oaxaca en Enero 2022
Cancun,Puebla,142,21.1622,-86.83568,19.04386,-98.19756,Se realizaron 142 vuelos entre los aeropuertos de Cancun y Puebla en Enero 2022
Cancun,Queretaro,89,21.1622,-86.83568,20.59209,-100.39601,Se realizaron 89 vuelos entre los aeropuertos de Cancun y Queretaro en Enero 2022
Cancun,Reynosa,36,21.1622,-86.83568,26.09279,-98.27749,Se realizaron 36 vuelos entre los aeropuertos de Cancun y Reynosa en Enero 2022
Cancun,San Luis Potosi,72,21.1622,-86.83568,22.15271,-100.97663,Se realizaron 72 vuelos entre los aeropuertos de Cancun y San Luis Potosi en Enero 2022
Cancun,Tampico,20,21.1622,-86.83568,22.25172,-97.86479,Se realizaron 20 vuelos entre los aeropuertos de Cancun y Tampico en Enero 2022
Cancun,Tijuana,159,21.1622,-86.83568,32.53507,-117.04097,Se realizaron 159 vuelos entre los aeropuertos de Cancun y Tijuana en Enero 2022
Cancun,Torreon,18,21.1622,-86.83568,25.53938,-103.45327,Se realizaron 18 vuelos entre los aeropuertos de Cancun y Torreon en Enero 2022
Cancun,Tuxtla Gutierrez,80,21.1622,-86.83568,16.75519,-93.11544,Se realizaron 80 vuelos entre los aeropuertos de Cancun y Tuxtla Gutierrez en Enero 2022
Cancun,Veracruz,124,21.1622,-86.83568,19.19535,-96.13683,Se realizaron 124 vuelos entre los aeropuertos de Cancun y Veracruz en Enero 2022
Cancun,Villahermosa,55,21.1622,-86.83568,17.99864,-92.90197,Se realizaron 55 vuelos entre los aeropuertos de Cancun y Villahermosa en Enero 2022
Chetumal,Guadalajara,36,18.50186,-88.30303,20.68758,-103.35104,Se realizaron 36 vuelos entre los aeropuertos de Chetumal y Guadalajara en Enero 2022
Chetumal,Ciudad de Mexico,246,18.50186,-88.30303,19.43194,-99.13315,Se realizaron 246 vuelos entre los aeropuertos de Chetumal y Ciudad de Mexico en Enero 2022
Chihuahua,Ciudad Juarez,32,28.63568,-106.07592,31.73836,-106.48776,Se realizaron 32 vuelos entre los aeropuertos de Chihuahua y Ciudad Juarez en Enero 2022
Chihuahua,Culiacan,59,28.63568,-106.07592,24.80769,-107.39447,Se realizaron 59 vuelos entre los aeropuertos de Chihuahua y Culiacan en Enero 2022
