point_A,point_B,n_vuelos
Morelia,Tijuana,290.0
Oaxaca,Tijuana,124.0
Puebla,Tijuana,106.0
Puerto Vallarta,Queretaro,73.0
Puerto Vallarta,San Luis Potosi,60.0
Puerto Vallarta,Tijuana,210.0
Queretaro,San Luis Potosi,3.0
Queretaro,Tampico,1.0
Queretaro,Tijuana,32.0
Queretaro,Torreon,29.0
Reynosa,Veracruz,30.0
Saltillo,San Luis Potosi,2.0
San José Del Cabo,Tijuana,188.0
San Luis Potosi,Tijuana,31.0
San Luis Potosi,Torreon,1.0
San Luis Potosi,Villahermosa,9.0
Tapachula,Tijuana,26.0
Tepic,Tijuana,109.0
Tijuana,Torreon,18.0
Tijuana,Tuxtla Gutierrez,46.0
Tijuana,Uruapan,98.0
Tijuana,Veracruz,26.0
Tijuana,Zacatecas,123.0
