city,country,n_vuelos,lat,long,description
Milwaukee,United States,38,43.042230000000004,-87.9069,Se realizaron 38 vuelos entre los aeropuertos de Cancun (Mexico) y Milwaukee (United States) en Enero 2022
Minneapolis,United States,331,44.97902,-93.26494,Se realizaron 331 vuelos entre los aeropuertos de Cancun (Mexico) y Minneapolis (United States) en Enero 2022
Montreal,Canada,124,45.508867,-73.554242,Se realizaron 124 vuelos entre los aeropuertos de Cancun (Mexico) y Montreal (Canada) en Enero 2022
Moscu,Russia,68,55.75696,37.61502,Se realizaron 68 vuelos entre los aeropuertos de Cancun (Mexico) y Moscu (Russia) en Enero 2022
Nashville,United States,38,36.16784,-86.77816,Se realizaron 38 vuelos entre los aeropuertos de Cancun (Mexico) y Nashville (United States) en Enero 2022
Newark,United States,253,40.73197,-74.17421,Se realizaron 253 vuelos entre los aeropuertos de Cancun (Mexico) y Newark (United States) en Enero 2022
Nueva Orleans,United States,38,29.9537,-90.07775,Se realizaron 38 vuelos entre los aeropuertos de Cancun (Mexico) y Nueva Orleans (United States) en Enero 2022
Nueva York,United States,329,40.71453,-74.00712,Se realizaron 329 vuelos entre los aeropuertos de Cancun (Mexico) y Nueva York (United States) en Enero 2022
Orlando,United States,252,28.53823,-81.37739,Se realizaron 252 vuelos entre los aeropuertos de Cancun (Mexico) y Orlando (United States) en Enero 2022
Ottawa,Canada,38,45.425226,-75.699963,Se realizaron 38 vuelos entre los aeropuertos de Cancun (Mexico) y Ottawa (Canada) en Enero 2022
Panama,Panama,422,8.93960446,-79.972926137,Se realizaron 422 vuelos entre los aeropuertos de Cancun (Mexico) y Panama (Panama) en Enero 2022
Paris,France,82,48.863697576,2.361657337,Se realizaron 82 vuelos entre los aeropuertos de Cancun (Mexico) y Paris (France) en Enero 2022
Philadelphia,United States,190,39.95222,-75.16218,Se realizaron 190 vuelos entre los aeropuertos de Cancun (Mexico) y Philadelphia (United States) en Enero 2022
Phoenix,United States,124,33.44825,-112.0758,Se realizaron 124 vuelos entre los aeropuertos de Cancun (Mexico) y Phoenix (United States) en Enero 2022
Pittsburgh,United States,10,40.43851,-79.99734,Se realizaron 10 vuelos entre los aeropuertos de Cancun (Mexico) y Pittsburgh (United States) en Enero 2022
Portland,United States,10,45.51179,-122.67563,Se realizaron 10 vuelos entre los aeropuertos de Cancun (Mexico) y Portland (United States) en Enero 2022
Quebec,Canada,39,53.38260342,-71.748742246,Se realizaron 39 vuelos entre los aeropuertos de Cancun (Mexico) y Quebec (Canada) en Enero 2022
Raleigh/Durham,United States,36,35.911110087242,-78.985167557692,Se realizaron 36 vuelos entre los aeropuertos de Cancun (Mexico) y Raleigh/Durham (United States) en Enero 2022
Regina,Canada,22,50.448119,-104.615859,Se realizaron 22 vuelos entre los aeropuertos de Cancun (Mexico) y Regina (Canada) en Enero 2022
Sacramento,United States,27,38.57944,-121.49085,Se realizaron 27 vuelos entre los aeropuertos de Cancun (Mexico) y Sacramento (United States) en Enero 2022
Salt Lake City,United States,62,40.76031,-111.88822,Se realizaron 62 vuelos entre los aeropuertos de Cancun (Mexico) y Salt Lake City (United States) en Enero 2022
San Antonio,United States,2,29.42458,-98.49461,Se realizaron 2 vuelos entre los aeropuertos de Cancun (Mexico) y San Antonio (United States) en Enero 2022
San Diego,United States,10,32.71568,-117.16171,Se realizaron 10 vuelos entre los aeropuertos de Cancun (Mexico) y San Diego (United States) en Enero 2022
San Francisco,United States,191,37.77712,-122.41966,Se realizaron 191 vuelos entre los aeropuertos de Cancun (Mexico) y San Francisco (United States) en Enero 2022
San Jose,Costa Rica,88,9.92975,-84.08569,Se realizaron 88 vuelos entre los aeropuertos de Cancun (Mexico) y San Jose (Costa Rica) en Enero 2022
San Salvador,El Salvador,22,13.69967,-89.2068,Se realizaron 22 vuelos entre los aeropuertos de Cancun (Mexico) y San Salvador (El Salvador) en Enero 2022
Santiago De Chile,Chile,24,-33.43722,-70.65002,Se realizaron 24 vuelos entre los aeropuertos de Cancun (Mexico) y Santiago De Chile (Chile) en Enero 2022
Sao Paulo,Brazil,26,-23.56287,-46.65468,Se realizaron 26 vuelos entre los aeropuertos de Cancun (Mexico) y Sao Paulo (Brazil) en Enero 2022
Saskatoon,Canada,16,52.130736,-106.660152,Se realizaron 16 vuelos entre los aeropuertos de Cancun (Mexico) y Saskatoon (Canada) en Enero 2022
Seattle,United States,133,47.60357,-122.32945,Se realizaron 133 vuelos entre los aeropuertos de Cancun (Mexico) y Seattle (United States) en Enero 2022
