,latitude,longitude,confidence,satellite,acq_date,daynight
134,36.82609,93.35088,56,A,2023-11-08,D
135,37.83157,93.46704,61,A,2023-11-08,D
136,37.82934,93.45418,69,A,2023-11-08,D
137,39.85042,98.27636,59,A,2023-11-08,D
138,39.84885,98.26377,79,A,2023-11-08,D
139,12.28518,76.9554,60,A,2023-11-08,D
140,15.89149,78.49329,59,A,2023-11-08,D
141,15.95838,78.50552,52,A,2023-11-08,D
142,22.0397,83.73577,52,A,2023-11-08,D
143,21.96086,78.95598,64,A,2023-11-08,D
144,22.25669,79.75893,52,A,2023-11-08,D
145,22.30267,79.73346,82,A,2023-11-08,D
146,21.33997,73.00564,83,A,2023-11-08,D
147,21.33803,72.99387,99,A,2023-11-08,D
148,22.31451,79.74495,85,A,2023-11-08,D
149,21.34784,72.99201,77,A,2023-11-08,D
150,22.34745,79.92785,67,A,2023-11-08,D
151,22.41512,80.39622,58,A,2023-11-08,D
152,22.40679,79.65945,58,A,2023-11-08,D
153,22.4138,79.63234,72,A,2023-11-08,D
154,22.41219,79.61948,73,A,2023-11-08,D
155,22.66887,78.1267,64,A,2023-11-08,D
156,22.65798,77.70232,51,A,2023-11-08,D
157,22.71661,78.00362,61,A,2023-11-08,D
158,22.68881,77.79292,75,A,2023-11-08,D
159,22.85021,78.55949,56,A,2023-11-08,D
160,22.84879,78.54816,60,A,2023-11-08,D
161,22.71696,77.52995,65,A,2023-11-08,D
162,23.05165,79.95926,52,A,2023-11-08,D
163,22.85047,77.96645,72,A,2023-11-08,D
164,22.83349,77.83952,58,A,2023-11-08,D
165,22.94448,78.34414,51,A,2023-11-08,D
166,22.95348,77.57408,66,A,2023-11-08,D
167,23.41286,80.01154,53,A,2023-11-08,D
168,23.41854,79.968,73,A,2023-11-08,D
169,23.4169,79.95404,75,A,2023-11-08,D
170,23.43576,80.0227,78,A,2023-11-08,D
171,23.4341,80.00861,79,A,2023-11-08,D
172,23.48005,79.98109,60,A,2023-11-08,D
173,23.47843,79.967,54,A,2023-11-08,D
174,23.54481,80.07275,54,A,2023-11-08,D
175,24.78367,77.02484,66,A,2023-11-08,D
176,24.80691,76.98935,63,A,2023-11-08,D
177,24.89888,77.06388,62,A,2023-11-08,D
178,25.19446,76.18486,51,A,2023-11-08,D
179,25.62213,78.81595,70,A,2023-11-08,D
180,25.62124,78.82362,64,A,2023-11-08,D
181,25.58173,78.16136,51,A,2023-11-08,D
182,25.41979,76.62563,71,A,2023-11-08,D
183,25.4184,76.61541,76,A,2023-11-08,D
184,25.44477,76.60453,87,A,2023-11-08,D
185,25.66045,78.13061,55,A,2023-11-08,D
186,25.79533,78.81778,67,A,2023-11-08,D
187,25.79375,78.80479,60,A,2023-11-08,D
188,25.59801,77.07288,54,A,2023-11-08,D
189,25.57572,76.69241,66,A,2023-11-08,D
190,25.58897,76.72188,79,A,2023-11-08,D
191,25.59251,76.67909,83,A,2023-11-08,D
192,25.60577,76.70855,70,A,2023-11-08,D
193,25.60299,76.68791,84,A,2023-11-08,D
194,25.98139,79.52395,63,A,2023-11-08,D
195,25.61543,76.57426,75,A,2023-11-08,D
196,25.98781,79.53107,56,A,2023-11-08,D
197,25.89681,78.7377,53,A,2023-11-08,D
198,25.62449,76.57275,85,A,2023-11-08,D
199,25.84778,78.16254,82,A,2023-11-08,D
200,25.64122,76.55949,76,A,2023-11-08,D
201,25.63984,76.54926,77,A,2023-11-08,D
202,25.65028,76.55799,96,A,2023-11-08,D
